code,date,title,company,host,catch_url,m3u8_url,downloaded,stt,key_word,abstract
4389524,2024-01-17,目标盈13期发车中！把握投资好时机,兴证全球基金,芊芊,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/631b19a03270835015102465788/playlist_eof.m3u8,,,,,
4390013,2024-01-17,1月17日市场复盘,华夏财富投顾,赵德赛,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e0e9ee383270835015202861437/playlist_eof.m3u8,,,,,
4390263,2024-01-16,地产探底，展望地产链投资机遇,富国基金,牛志冬| 林玉新,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/05e25bd03270835015081542500/playlist_eof.m3u8,,,,,
4390025,2024-01-16,A股地量磨底！新数据能否成提振剂？,博时基金,陈奥,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fef57e763270835015081253318/playlist_eof.m3u8,,,,,
4390726,2024-01-16,与投顾一同展望2024基金投资,易方达基金投顾,赵东启|宋灏|周君芝,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/e29f0fe13270835015077315982/v.f230.m3u8,,,,,
4390406,2024-01-16,2024光伏行情怎么看？,嘉实基金,滕抒含|豆豆,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/0de6a1f73270835015111942644/playlist_eof.m3u8,,,,,
4390245,2024-01-16,固收会客厅|固收类产品如何投资,中信建投基金,徐亮,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/553017b93270835015177270451/playlist_eof.m3u8,,,,,
4390645,2024-01-16,市场信心如何修复？,财通基金,黄Sir,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/112248993270835015176618302/playlist_eof.m3u8,,,,,
4390731,2024-01-16,曙光初现？医疗板块2024年投资展望,华宝基金,姜 志,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/8ba48f753270835015069110436/playlist_eof.m3u8,,,,,
4390546,2024-01-16,万象更新，谈红利投资,工银瑞信基金,李锐敏,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/210221bd3270835015173236916/playlist_eof.m3u8,,,,,
4390543,2024-01-16,资产配置全球化，美元债够“美”吗？,富国基金,郭子琨| 雯雯,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2cccc2db3270835015173750535/playlist_eof.m3u8,,,,,
4389211,2024-01-16,【嘉话市场】2024新年如何开好“投”？,嘉合基金,李国林,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/796ebb5f3270835015174704674/playlist_eof.m3u8,,,,,
4389144,2024-01-16,中医药预期转暖？如何跟上？,前海开源基金,俊俊|小鱼,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e674ca943270835015107580107/playlist_eof.m3u8,,,,,
4390372,2024-01-16,震荡行情下你在买什么？,鑫元基金,威仔&克老师,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/aa0ab2bd3270835015073113977/playlist_eof.m3u8,,,,,
4390492,2024-01-16,2024年生活和基金e起投,万家基金,贺方舟,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/44f3fb523270835015105207543/playlist_eof.m3u8,,,,,
4390718,2024-01-16,选择信用精选的五大理由,银华基金,小莫|开阳,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a8377fca3270835015073089969/playlist_eof.m3u8,,,,,
4390551,2024-01-16,一起追剧，大热剧有何投资启示？,信达澳亚基金,艾米莉｜小雅,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/9be5c0453270835015106697791/playlist_eof.m3u8,,,,,
4390517,2024-01-16,量化基为何更抗跌?,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/933896ff3270835015069497113/playlist_eof.m3u8,,,,,
4389430,2024-01-16,新能源赛道反弹行情会有持续性吗？,东财基金,莫志刚 | 赵肖萌,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/b048ea5e3270835015103490976/playlist_eof.m3u8,,,,,
4389065,2024-01-16,权益投资性价比创新高，未来关注哪些方向？,华夏基金,美惠学姐,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/cce066c03270835015070579454/playlist_eof.m3u8,,,,,
4389034,2024-01-16,湘财基金2024春季策略会,湘财基金,车广路 | 徐亦达,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/c83132fe3270835015070370769/playlist_eof.m3u8,,,,,
4390577,2024-01-16,光伏是下一个主线？,天弘基金,高高,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/86f8ce763270835015171221881/playlist_eof.m3u8,,,,,
4390540,2024-01-16,各板块当前节奏是怎样的？,宏利基金管理,大强,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/47ee7d573270835015068503316/playlist_eof.m3u8,,,,,
4389653,2024-01-16,聊聊近期的国防军工板块！,鹏华基金,陈龙,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/065176fb3270835015104854167/playlist_eof.m3u8,,,,,
4390488,2024-01-16,金价走强！还能投吗？,华安基金,可乐,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/ff1d7b1d3270835015104527991/v.f230.m3u8,,,,,
4390237,2024-01-16,利率1时代，理财看短债,达诚基金,亦然,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/ccdf5eff3270835015070577851/playlist_eof.m3u8,,,,,
4390233,2024-01-16,2024，光伏值得期待吗？,红土创新基金,李坤,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/f8527e2a3270835015104254003/v.f230.m3u8,,,,,
4390209,2024-01-16,短债配置知多少？,富达基金,马特|瑞秋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fd100dd83270835015104466336/playlist_eof.m3u8,,,,,
4390144,2024-01-16,直升基|港股拐点要来到，进攻防守全都要,华夏基金,朱振国|章悦欢,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/3a6d5a843270835015170285985/playlist_eof.m3u8,,,,,
4390138,2024-01-16,震荡求“稳”，全“利”以赴,明亚基金,心怡|欧阳,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/c75989bd3270835015182543249/v.f230.m3u8,,,,,
4390108,2024-01-16,当前债市吸引力何在？,中海基金,梦圆,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/026889843270835015169208982/playlist_eof.m3u8,,,,,
4389606,2024-01-16,跟着“宝总”学投资,中加基金,京大宝,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/4c830f993270835015105585154/v.f230.m3u8,,,,,
4390514,2024-01-16,南华量化新基优势盘点,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/bde34eff3270835015097473622/playlist_eof.m3u8,,,,,
4390411,2024-01-16,圣贤说农业、煤炭、智能汽车,富国基金,张圣贤 | 七七,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/12c6f5673270835015071265999/playlist_eof.m3u8,,,,,
4390218,2024-01-16,国泰基金2024年度策略会,国泰基金,国泰基金,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/07b49a293270835015169496870/playlist_eof.m3u8,,,,,
4388927,2024-01-16,科技相关板块，你了解多少？,银河基金,小瑞,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/b35e3b203270835015168142928/playlist_eof.m3u8,,,,,
4390159,2024-01-16,率先反转！专精特新何以率先反弹？,华夏基金,顾鑫峰|矫健,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/0382f1d73270835015098122055/playlist_eof.m3u8,,,,,
4389859,2024-01-16,热点有约| 2024年A股将如何演绎？,易方达基金,李俊池,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/11b8c0273270835015098753187/playlist_eof.m3u8,,,,,
4389657,2024-01-16,震荡开局，2024怎么走？,南方基金,何典鸿|小雪,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/c4d262ec3270835015097766972/playlist_eof.m3u8,,,,,
4390510,2024-01-16,震荡市量化掘金秘籍,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/11d418203270835015064422779/playlist_eof.m3u8,,,,,
4390313,2024-01-16,稳健理财看这里！,中信保诚,杰尼,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/44f1bfd93270835015163919230/playlist_eof.m3u8,,,,,
4389089,2024-01-16,快问快答！美股行情如何演绎？,天弘基金,磊磊,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/9d42492d3270835015161351041/playlist_eof.m3u8,,,,,
4390205,2024-01-16,看好A股投资性价比，买什么？,西部利得基金,小爽,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/553c4a3d3270835015058280294/playlist_eof.m3u8,,,,,
4389549,2024-01-16,长盛早盘资讯解读,长盛基金,文财妹妹,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/11c1765f3270835015159042847/playlist_eof.m3u8,,,,,
4390040,2024-01-15,A股何时进入基本面驱动阶段？,创金合信基金,嘟姐,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/103d1f7f3270835015071138767/playlist_eof.m3u8,,,,,
4390318,2024-01-15,红利策略2024怎么投？,富国星投顾,宇童 | 雨薇,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/f2f901833270835015036969272/playlist_eof.m3u8,,,,,
4389952,2024-01-15,基金经理请回答|张浩然专场,易方达基金,张浩然,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/f65ec5d53270835015067318320/playlist_eof.m3u8,,,,,
4389586,2024-01-15,实力基金经理重磅新发！,兴业基金,刘禹含,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/5f9deeab3270835015031190420/playlist_eof.m3u8,,,,,
4390113,2024-01-15,2024年的投资机会在哪？,财通基金,黄Sir,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/68ab553c3270835015031552768/playlist_eof.m3u8,,,,,
4389994,2024-01-15,市场震荡调整，机会如何把握？,金信基金,欢乐多,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/57d1037a3270835015065126537/playlist_eof.m3u8,,,,,
4390016,2024-01-15,新年“投”等大事，24年怎么投？,工银瑞信基金,魏毓聪,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/4ae4f3283270835015068690857/v.f230.m3u8,,,,,
4389982,2024-01-15,资产周周谈,大成基金,陈志伟,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/6629655f3270835015065774803/playlist_eof.m3u8,,,,,
4389903,2024-01-15,新能源展望2024能否行情归来？,东方基金,小鱼|张阳,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2084f1483270835015132112430/playlist_eof.m3u8,,,,,
4389672,2024-01-15,定投团|主播来了，今日发车1.15,华夏基金,小夏,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/5a38341b3270835015065236176/playlist_eof.m3u8,,,,,
4389541,2024-01-15,2024年如何开好“投”？,建信基金,赵荣杰|桐小欢,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2a49fd373270835015132579410/playlist_eof.m3u8,,,,,
4390228,2024-01-15,大寒之后必有大暑，繁花似锦看光伏！,银华基金,王雪琪|李想,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/6f5058133270835015031802806/playlist_eof.m3u8,,,,,
4389898,2024-01-15,龙年看好哪类资产？,长信基金,南风,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/9511f2653270835015130789567/playlist_eof.m3u8,,,,,
4389526,2024-01-15,高股息板块受捧，能否持续占优？,长城基金,汪立,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e1d6debc3270835015029447650/playlist_eof.m3u8,,,,,
4389955,2024-01-15,量化基金如何捕捉行业风口？,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a8ce61663270835015059529386/playlist_eof.m3u8,,,,,
4389931,2024-01-15,跟《繁花》宝总，学资产配置,国投瑞银基金,童毅|湘琳,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a0965d093270835015028953887/playlist_eof.m3u8,,,,,
4389544,2024-01-15,蓄能低估高潜力 价值优选ESG,天天基金网,中泰资管王路遥,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/14c319493270835015030261330/playlist_eof.m3u8,,,,,
4388869,2024-01-15,盘后有约|春节将至，旅游市场热度如何？,华夏基金,佳佳佳,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/c055def33270835015063246403/playlist_eof.m3u8,,,,,
4389660,2024-01-15,周期轮动每周谈：本周热点油气与化工,鹏华基金,闫冬,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/7f3b1ec03270835015062775185/playlist_eof.m3u8,,,,,
4389889,2024-01-15,债市波动怎么办？,前海联合基金,追风少女,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/6e67e8543270835015062004890/v.f230.m3u8,,,,,
4390046,2024-01-15,NB·财经每周一 | 第二十八期,NB路博迈基金,朱冰倩,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2fed6ec13270835015061678527/playlist_eof.m3u8,,,,,
4390006,2024-01-15,1月15日市场复盘,华夏财富投顾,赵德赛,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/c3937bf93270835015127775500/playlist_eof.m3u8,,,,,
4389996,2024-01-15,2024，还能相信“光”吗？,嘉实基金,滕抒含|豆豆,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/bc5c215d3270835015127442891/playlist_eof.m3u8,,,,,
4389857,2024-01-15,神机妙策 | 高股息行情能否持续？,汇添富基金,马千里|添财酱,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/924ef9723270835015028313505/playlist_eof.m3u8,,,,,
4389648,2024-01-15,聊聊近期的大金融板块！,鹏华基金,余展昌,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/70e376d63270835015062128921/playlist_eof.m3u8,,,,,
4389473,2024-01-15,如何捕捉高股息板块投资机会？,国联基金,陈薪羽|赵楠,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/b32e4b583270835015127067064/playlist_eof.m3u8,,,,,
4389984,2024-01-15,固收投资新手村攻略,天治基金,任曲星,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a6c80f103270835015025123633/playlist_eof.m3u8,,,,,
4389703,2024-01-15,华夏磐锐开放申赎！解读当前定增市场,华夏基金,宋老师|华华,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/663275b43270835015126064325/playlist_eof.m3u8,,,,,
4389392,2024-01-15,南方基金开年策略会【不畏浮云遮望眼】,南方基金,唐小东|林乐峰|金凌志|郑晓曦|龚涛|何文欣|张其思|王鑫|李岩,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/2953d6f53270835015125730291/v.f230.m3u8,,,,,
4389422,2024-01-15,当前行情下，哪些方向值得关注？,东财基金,姚楠燕 | 王陈怡,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/72c2385a3270835015055451636/playlist_eof.m3u8,,,,,
4389534,2024-01-15,东证指数创近34年新高，还能上车吗？,南方基金,崔蕾|燃仔,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/39d46c643270835015051201301/playlist_eof.m3u8,,,,,
4389532,2024-01-15,一周早知道！投资速递,上银基金,罗项天,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/60d8f8073270835015058779516/playlist_eof.m3u8,,,,,
4389598,2024-01-15,李彦来了|解读华夏瑞益投资方向和思路,华夏基金,李彦|倩倩,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/1cbbc7d63270835015054091930/playlist_eof.m3u8,,,,,
4389513,2024-01-15,今日开售！兴证全球目标盈13期来啦,兴证全球基金,文韬,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/011d77c23270835014746547416/playlist_eof.m3u8,,,,,
4389639,2024-01-15,8分钟投顾丨一周市场复盘,招商基金,马晓蕾,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/72f98dfd3270835015055483346/playlist_eof.m3u8,,,,,
4389631,2024-01-14,ETF会客室：2024年黄金年度展望,华安基金,周泓灏 | 刘昕玥,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/cfd1f1663270835014997364244/playlist_eof.m3u8,,,,,
4388496,2024-01-12,港股到底谁在赚钱啊！,创金合信基金,李志武&创金小仙女,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/109fe85e3270835014919704721/playlist_eof.m3u8,,,,,
4389377,2024-01-12,冰雪游持续升温，旅游出行利好能否持续？,金信基金,欢乐多,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/7f96cb643270835014948377404/playlist_eof.m3u8,,,,,
4389309,2024-01-12,指数基金规模“狂飙”24年指数投资展望,华泰柏瑞基金,刘子昂|兔宝,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/e5b3da263270835014946386336/v.f230.m3u8,,,,,
4388060,2024-01-12,2024开年投资 聚焦红利高股息,民生加银基金,周帅1,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a65b72863270835014945931953/playlist_eof.m3u8,,,,,
4385699,2024-01-12,2024新年大咖荟,中信证券资管,田宇 | 魏来,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/ad4ea4913270835015001966004/playlist_eof.m3u8,,,,,
4389492,2024-01-12,本周市场热点解读,富荣基金,阿峻和小雨,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/56d7e8c93270835014944805687/playlist_eof.m3u8,,,,,
4389351,2024-01-12,创新药产业趋势及CXO的逆转,北信瑞丰基金,庞文杰马寅喜双人,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/e7acec493270835014946433589/v.f230.m3u8,,,,,
4389226,2024-01-12,持有人请注意！基金经理来答疑,太平基金,赵岩,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/924ae4e93270835014914839665/playlist_eof.m3u8,,,,,
4388998,2024-01-12,如何较为有效地参与红利风格投资,中金基金,刘重晋,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/a1d4c6243270835014945750970/v.f230.m3u8,,,,,
4388972,2024-01-12,关键布局窗口期！美债怎么投？,长信基金,南风,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e5df9d383270835014912062743/playlist_eof.m3u8,,,,,
4388605,2024-01-12,2024年科技有望成为投资主线吗？,国泰基金,苗梦羽|小羊,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/f85298a13270835014912832738/playlist_eof.m3u8,,,,,
4388343,2024-01-12,"2024年，理财""债""升级？",新华基金,李晓然,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2acccf523270835014998967426/playlist_eof.m3u8,,,,,
4386794,2024-01-12,2024医药板块机会来了？,财通证券资管,小宝,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/05a178c63270835014943668039/playlist_eof.m3u8,,,,,
4389359,2024-01-12,投资线索|板块位置追踪0112,宏利基金管理,大强,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/26ea9aca3270835014909836674/playlist_eof.m3u8,,,,,
4389363,2024-01-12,消费板块可以左侧布局了吗？,恒越基金,晨欣,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e5d0b55a3270835014912058137/playlist_eof.m3u8,,,,,
4389338,2024-01-12,震荡市一枝独秀，红利能否继续上车？,富国基金,徐幼华| 雯雯,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/18ea96e13270835014909234880/playlist_eof.m3u8,,,,,
4389148,2024-01-12,红利策略大火，还能投吗？,宝盈基金,安琪,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fbf2799e3270835014943218742/playlist_eof.m3u8,,,,,
4389021,2024-01-12,莫道桑榆晚，为霞尚可期,东方红资产管理,慧颖,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/dde5332f3270835014997978323/playlist_eof.m3u8,,,,,
4388880,2024-01-12,红土“金牌讲师”聊投资,红土创新基金,陈锦达,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/af764ba83270835014942287396/v.f230.m3u8,,,,,
4388822,2024-01-12,雪球或引下跌？火速解读！,浙商基金,凡同学,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fabad5423270835014912944078/playlist_eof.m3u8,,,,,
4388517,2024-01-12,稳稳添富 | 1季度，债基有何看点？,汇添富基金,添财酱,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/2208d9973270835014909604302/playlist_eof.m3u8,,,,,
4386999,2024-01-12,聊聊近期的消费和医药,鹏华基金,张羽翔,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/44ad3d593270835014944075213/playlist_eof.m3u8,,,,,
4388815,2024-01-12,想稳也想赚，市场震荡怎么投？,华宝基金,飞飞,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/30ebc6fc3270835014638135048/playlist_eof.m3u8,,,,,
4389224,2024-01-12,2024纳斯达克还能投吗？,华安基金,可乐,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/fbf2f0e23270835014943219259/v.f230.m3u8,,,,,
4389140,2024-01-12,聊聊货币基金那些事儿,天治基金,黄月镭,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/d806b3693270835014908794734/playlist_eof.m3u8,,,,,
4389159,2024-01-12,热点有约|2024哪些行业值得关注？,易方达基金,李俊池|胡秋语,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/db23fd383270835014939103261/playlist_eof.m3u8,,,,,
4388047,2024-01-12,晨光熹微，同路而行！,天弘基金,姜晓丽,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/08bfe2423270835014991638125/playlist_eof.m3u8,,,,,
4389315,2024-01-12,南华量化，掘金中小盘,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/e0a0bbdb3270835014905076442/playlist_eof.m3u8,,,,,
4389074,2024-01-12,债基知多少·股债搭配怎么做？,信达澳亚基金,艾米莉,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fe1a1c1f3270835014936582107/playlist_eof.m3u8,,,,,
4383983,2024-01-12,2024，如何抓住科技投资机会？,诺安基金,陈克迪 I 王涛,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/4f3036283270835014937706864/playlist_eof.m3u8,,,,,
4389305,2024-01-12,冰雪旅游火了，能带动消费板块吗？,西部利得基金,杜朋哲 | 小爽,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/c16e4fbd3270835014901937037/playlist_eof.m3u8,,,,,
4388145,2024-01-12,数数我生命中的下蛋基,长城基金,小粽,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/029f46883270835014936760973/v.f230.m3u8,,,,,
4388996,2024-01-12,繁花之下，投资几何？,鹏扬基金,小羊妹妹,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a52dbb763270835014935042360/playlist_eof.m3u8,,,,,
